Ciudad,Seguridad,Costo del destino,Accesibilidad,Clima,Comida,Cultura/arte,Actividades_deportivas/aventura,Playa,Montana/naturaleza,Fiesta/vida nocturna
Belgrade,4,4,2,4,4,5,4,3,4,5
Bali,3,5,3,4,5,4,5,5,4,4
Kandy,4,5,3,4,4,5,4,2,5,3
Beirut,2,2,3,4,5,5,4,4,3,4
Pekin,3,3,4,3,5,5,3,2,3,4
Cracovia,5,4,4,4,4,5,3,2,3,4
Atenas,4,3,4,4,5,5,4,4,3,4
Varna,4,5,3,4,4,4,4,5,3,4
Marruecos,3,5,3,4,5,5,4,4,4,3
Baku,4,4,3,4,4,5,4,3,3,4
Belgrado,4,4,2,4,4,5,4,3,4,5
Sousse,3,4,3,4,4,4,4,4,3,3
Nueva Delhi,2,5,2,3,5,4,3,2,4,3
Chisinau,4,5,3,3,3,4,3,2,3,3
Hoi An,4,5,3,4,5,5,4,4,4,3
Seattle,4,2,4,3,5,5,4,3,4,4
St. Petersburg,3,3,3,2,4,5,3,2,4,4
Lausanne,5,2,5,4,4,5,3,2,4,3
Valletta,5,3,4,4,4,4,3,5,3,3
Hokkaido,5,3,4,2,4,4,5,2,5,2
Rovaniemi,5,3,3,1,3,3,5,1,5,2
Bruges,5,2,4,3,4,5,3,2,3,2
Brno,5,4,3,3,4,4,3,2,4,3
Budapest,4,4,4,4,5,5,4,3,4,5
Oporto,4,3,4,4,5,5,4,4,4,5
Milan,3,2,4,4,5,5,3,2,3,5
Cannes,4,2,4,5,4,4,3,5,2,5
Denpasar,3,5,3,4,5,4,5,5,4,4
Nueva York,2,1,5,3,5,5,5,3,3,5
Split,4,4,3,4,4,4,4,5,4,4
Muscat,5,3,3,4,4,3,3,4,2,2
Puerto Rico,3,3,3,4,4,4,4,5,4,4
Christchurch,5,3,4,3,4,4,5,3,5,2
Phnom Penh,3,5,3,4,4,4,4,3,3,3
San Miguel de Allende,5,4,3,4,5,5,3,2,3,3
La Haya,5,2,5,3,4,5,3,2,3,3
Amritsar,3,5,2,4,4,4,3,1,3,2
Amman,4,4,3,4,4,4,4,2,3,3
Dubai,5,2,5,4,5,4,5,5,2,5
Mumbai,2,5,2,3,5,4,3,2,3,4
Tallin,5,4,4,3,4,5,3,2,3,4
Helsinki,5,2,5,2,4,5,3,1,4,3
Foz do Iguacu,3,4,3,4,4,3,5,4,5,3
Havana,2,4,2,4,4,5,3,5,3,4
Manaos,3,4,2,4,3,3,5,4,5,3
Khiva,4,5,2,4,3,4,3,3,4,2
Rosario,3,4,3,4,4,4,4,2,3,4
Niza,4,2,4,5,5,5,3,5,3,5
La Paz,3,5,2,3,3,4,4,1,5,2
Lyon,5,2,5,4,5,5,3,2,3,3
Rio de Janeiro,3,3,3,4,5,4,5,5,4,5
Sao Paulo,2,4,3,4,5,4,4,3,3,5
Tbilisi,4,5,3,4,4,5,4,2,4,3
Lviv,4,5,3,3,3,4,3,2,3,3
Burdeos,5,2,5,4,5,5,3,2,3,3
Luxor,3,5,3,4,4,5,4,4,3,2
Varsovia,5,4,4,3,4,5,3,2,3,3
Faro,5,3,3,4,4,4,3,5,3,4
La Habana,2,4,2,4,4,5,3,5,3,4
Portofino,4,2,3,5,4,4,3,5,2,4
Aix-en-Provence,5,2,4,4,5,5,3,2,3,2
Ginebra,5,2,5,3,4,5,3,1,4,3
Osaka,5,3,4,3,5,5,4,3,4,4
Montreal,5,3,5,3,5,5,4,2,4,4
Mendoza,4,4,3,4,4,4,4,2,4,3
Puno,3,5,2,3,3,3,4,2,5,2
Lanzarote,5,3,3,4,4,4,4,5,4,4
Tokio,5,2,5,3,5,5,4,3,3,5
Kyoto,5,3,4,3,5,5,3,2,4,3
Cape Town,3,4,3,4,5,5,5,5,5,4
Rethymno,5,3,3,4,4,4,3,5,3,3
Paraty,4,4,2,4,4,4,4,5,4,3
Kiev,3,5,3,3,3,4,3,2,3,3
Zurich,5,1,5,3,4,5,3,1,4,2
Melbourne,5,3,5,4,5,5,5,3,5,4
Nairobi,3,4,2,3,4,4,5,2,5,3
Puerto Vallarta,4,4,3,4,5,4,4,5,3,4
Trinidad,3,4,2,4,4,4,3,5,3,3
Bled,5,3,2,3,4,4,3,3,5,2
Luxembourg,5,1,5,3,4,5,3,1,3,2
Roma,4,3,4,4,5,5,3,2,3,5
Riad,2,3,3,4,4,3,2,1,2,1
Oslo,5,1,5,2,4,5,3,1,4,3
Barcelona,4,3,5,4,5,5,4,4,3,5
Jerusalem,3,4,3,4,5,5,3,2,3,4
Calgary,5,3,5,3,4,4,4,2,5,3
Jerusalen,3,4,3,4,5,5,3,2,3,4
Saint Petersburg,3,3,3,2,4,5,3,2,4,4
Bratislava,5,4,4,3,4,4,3,2,3,3
Cuenca,5,5,2,4,4,4,3,2,4,2
Seul,5,3,5,3,5,5,4,2,3,4
Arequipa,4,5,2,4,4,4,3,2,4,2
Ciudad de Mexico,3,4,3,4,5,5,4,2,3,5
Kioto,5,3,4,3,5,5,3,2,4,3
Yerevan,4,4,3,4,4,5,3,2,3,3
Nagasaki,5,3,4,3,4,4,3,3,4,2
Doha,5,2,4,4,4,4,4,5,2,3
Cluj-Napoca,5,4,3,3,4,4,3,2,3,3
Tallinn,5,4,4,3,4,5,3,2,3,4
Taipéi,5,3,5,4,5,5,4,3,3,4
Granada,4,3,3,4,5,5,3,3,3,4
Kuala Lumpur,4,4,4,4,5,4,5,4,3,4
Antigua,5,4,2,4,4,5,3,2,3,3
Reykjavik,5,2,5,2,4,4,4,2,5,2
Lisboa,5,3,4,4,5,5,4,4,4,5
Manama,4,3,3,4,4,3,3,3,2,2
Sucre,5,5,2,4,3,4,3,2,4,2
Pyongyang,1,4,1,3,2,2,2,1,2,1
Bansko,4,4,2,4,4,4,4,3,5,2
Bergen,5,2,4,3,4,5,3,2,4,2
Matera,5,3,3,4,4,5,3,2,4,2
Quebec,5,3,5,3,4,5,4,2,4,3
Bariloche,4,4,2,3,4,4,5,3,5,3
Almaty,4,4,3,4,4,4,4,2,5,3
Miami,3,2,4,4,5,4,4,5,3,5
Cairo,2,4,2,4,5,5,3,3,3,4
San Petersburgo,3,3,3,2,4,5,3,2,4,4
Rio,3,3,3,4,5,4,5,5,4,5
Belem,3,4,2,4,4,3,4,5,4,3
Estocolmo,5,2,5,3,4,5,3,2,3,3
Praga,5,4,4,4,5,5,4,2,4,4
Casablanca,3,4,3,4,4,4,3,4,3,3
Kotor,5,4,2,4,4,4,3,5,5,2
Yogyakarta,4,5,3,4,5,5,4,3,4,3
